dt,E2-TH-1-D-01-TEMP,E2-TH-1-D-02-TEMP,E2-TH-1-D-03-TEMP
2026-02-14 00:00:01.001000+07:00,29.1,30.1,
2026-02-14 00:05:01.001000+07:00,29.4,,
2026-02-14 00:10:01.001000+07:00,29.1,,
2026-02-14 00:15:01.001000+07:00,29.4,,
2026-02-14 00:20:01.001000+07:00,29.3,,
2026-02-14 00:25:01.001000+07:00,29.1,,
2026-02-14 00:30:01.001000+07:00,29.1,,
2026-02-14 00:35:02.001000+07:00,29.4,,
2026-02-14 00:40:01.001000+07:00,29.5,,
2026-02-14 00:45:01.001000+07:00,29.5,,
2026-02-14 00:50:01.001000+07:00,29.1,,
2026-02-14 00:55:01.001000+07:00,29.3,,
2026-02-14 01:00:01.001000+07:00,29.1,,
2026-02-14 01:05:01.001000+07:00,29.3,,
2026-02-14 01:10:01.001000+07:00,29.2,,
2026-02-14 01:15:01.001000+07:00,29.5,,
2026-02-14 01:20:01.001000+07:00,29.1,,
2026-02-14 01:25:01.001000+07:00,29.2,,
2026-02-14 01:30:01.001000+07:00,29.2,,
2026-02-14 01:35:01.001000+07:00,29.3,,
2026-02-14 01:40:01.001000+07:00,29.1,,
2026-02-14 01:45:01.001000+07:00,29.1,,
2026-02-14 01:50:01.001000+07:00,29.1,,
2026-02-14 01:55:01.001000+07:00,29.3,,
2026-02-14 02:00:01.001000+07:00,29.4,,
2026-02-14 02:05:01.001000+07:00,29.1,,
2026-02-14 02:10:01.001000+07:00,29.1,,
2026-02-14 02:15:02.001000+07:00,29.0,,
2026-02-14 02:20:01.001000+07:00,29.0,,
2026-02-14 02:25:01.001000+07:00,29.3,,
2026-02-14 02:30:01.001000+07:00,29.2,,
2026-02-14 02:35:01.001000+07:00,29.2,,
2026-02-14 02:40:01.001000+07:00,29.1,,
2026-02-14 02:45:01.001000+07:00,29.3,,
2026-02-14 02:50:01.001000+07:00,29.3,,
2026-02-14 02:55:01.001000+07:00,29.1,,
2026-02-14 03:00:01.001000+07:00,28.9,,
2026-02-14 03:05:01.001000+07:00,29.0,,
2026-02-14 03:10:01.001000+07:00,29.0,,
2026-02-14 03:15:01.001000+07:00,29.0,,
2026-02-14 03:20:01.001000+07:00,29.2,,
2026-02-14 03:25:01.001000+07:00,29.0,,
2026-02-14 03:30:01.001000+07:00,28.9,,
2026-02-14 03:35:01.001000+07:00,29.0,,
2026-02-14 03:40:01.001000+07:00,28.8,,
2026-02-14 03:45:01.001000+07:00,28.8,,
2026-02-14 03:50:01.001000+07:00,29.0,,
2026-02-14 03:55:01.001000+07:00,28.9,,
2026-02-14 04:00:01.001000+07:00,28.9,,
2026-02-14 04:05:01.001000+07:00,28.9,,
2026-02-14 04:10:01.001000+07:00,29.1,,
2026-02-14 04:15:01.001000+07:00,29.1,,
2026-02-14 04:20:01.001000+07:00,29.1,,
2026-02-14 04:25:02.001000+07:00,29.2,,
2026-02-14 04:30:01.001000+07:00,29.1,,
2026-02-14 04:35:01.001000+07:00,29.1,,
2026-02-14 04:40:01.001000+07:00,28.9,,
2026-02-14 04:45:01.001000+07:00,29.1,,
2026-02-14 04:50:01.001000+07:00,29.2,,
2026-02-14 04:55:01.001000+07:00,28.9,,
2026-02-14 05:00:01.001000+07:00,29.1,,
2026-02-14 05:05:01.001000+07:00,29.2,,
2026-02-14 05:10:01.001000+07:00,29.2,,
2026-02-14 05:15:01.001000+07:00,29.0,,
2026-02-14 05:20:01.001000+07:00,29.2,,
2026-02-14 05:25:01.001000+07:00,29.1,,
2026-02-14 05:30:02.001000+07:00,28.9,,
2026-02-14 05:35:01.001000+07:00,29.3,,
2026-02-14 05:40:01.001000+07:00,29.0,,
2026-02-14 05:45:01.001000+07:00,28.9,,
2026-02-14 05:50:01.001000+07:00,29.1,,
2026-02-14 05:55:01.001000+07:00,28.9,,
2026-02-14 06:00:02.001000+07:00,28.8,,
2026-02-14 06:05:01.001000+07:00,29.2,,
2026-02-14 06:10:01.001000+07:00,29.1,,
2026-02-14 06:15:01.001000+07:00,28.8,,
2026-02-14 06:20:01.001000+07:00,29.0,,
2026-02-14 06:25:01.001000+07:00,29.2,,
